Provincia,Azuay
16/3/2020,1
17/3/2020,5
18/3/2020,5
19/3/2020,14
20/3/2020,18
21/3/2020,19
22/3/2020,19
23/3/2020,23
24/3/2020,28
25/3/2020,31
26/3/2020,37
27/3/2020,42
28/3/2020,42
29/3/2020,53
30/3/2020,57
31/3/2020,78
1/4/2020,94
2/4/2020,99
3/4/2020,99
4/4/2020,99
5/4/2020,99
6/4/2020,100
7/4/2020,100
8/4/2020,107
9/4/2020,116
10/4/2020,151
11/4/2020,154
12/4/2020,178
13/4/2020,182
14/4/2020,192
15/4/2020,200
16/4/2020,205
17/4/2020,207
18/4/2020,217
19/4/2020,223
20/4/2020,232
21/04/2020,247
22/04/2020,273
